/home/ec2-user/venv/lib64/python3.9/site-packages/boto3/compat.py:89: PythonDeprecationWarning: Boto3 will no longer support Python 3.9 starting April 29, 2026. To continue receiving service updates, bug fixes, and security updates please upgrade to Python 3.10 or later. More information can be found here: https://aws.amazon.com/blogs/developer/python-support-policy-updates-for-aws-sdks-and-tools/
  warnings.warn(warning, PythonDeprecationWarning)
Connected to Coinbase WebSocket
Sent: BTC-USD | $64034.99 (Buffer: 34/100)
Sent: BTC-USD | $64034.99 (Buffer: 35/100)
Sent: BTC-USD | $64035.0 (Buffer: 36/100)
Sent: BTC-USD | $64035.0 (Buffer: 37/100)
Sent: BTC-USD | $64035.0 (Buffer: 38/100)
Sent: SOL-USD | $73.83 (Buffer: 39/100)
Sent: BTC-USD | $64035.0 (Buffer: 40/100)
Sent: BTC-USD | $64035.0 (Buffer: 41/100)
Sent: BTC-USD | $64034.99 (Buffer: 42/100)
Sent: BTC-USD | $64034.99 (Buffer: 43/100)
Sent: BTC-USD | $64034.99 (Buffer: 44/100)
Sent: BTC-USD | $64034.99 (Buffer: 45/100)
Sent: BTC-USD | $64034.99 (Buffer: 46/100)
Sent: BTC-USD | $64035.95 (Buffer: 47/100)
Sent: BTC-USD | $64035.07 (Buffer: 48/100)
Sent: BTC-USD | $64035.92 (Buffer: 49/100)
Sent: SOL-USD | $73.83 (Buffer: 50/100)
Sent: BTC-USD | $64035.92 (Buffer: 51/100)
Sent: BTC-USD | $64035.92 (Buffer: 52/100)
📦 Flushed 52 trades to S3: raw_batch/batch_20260725_125040_52.json
Sent: BTC-USD | $64035.93 (Buffer: 1/100)
Sent: BTC-USD | $64035.93 (Buffer: 2/100)
Sent: BTC-USD | $64035.93 (Buffer: 3/100)
Sent: BTC-USD | $64035.92 (Buffer: 4/100)
Sent: BTC-USD | $64035.92 (Buffer: 5/100)
Sent: BTC-USD | $64035.92 (Buffer: 6/100)
Sent: BTC-USD | $64035.93 (Buffer: 7/100)
Sent: SOL-USD | $73.83 (Buffer: 8/100)
Sent: BTC-USD | $64035.92 (Buffer: 9/100)
Sent: BTC-USD | $64035.92 (Buffer: 10/100)
Sent: BTC-USD | $64035.92 (Buffer: 11/100)
Sent: BTC-USD | $64035.92 (Buffer: 12/100)
Sent: BTC-USD | $64035.92 (Buffer: 13/100)
Sent: BTC-USD | $64035.92 (Buffer: 14/100)
Sent: BTC-USD | $64035.92 (Buffer: 15/100)
Sent: BTC-USD | $64035.92 (Buffer: 16/100)
Sent: BTC-USD | $64035.93 (Buffer: 17/100)
Sent: BTC-USD | $64035.92 (Buffer: 18/100)
Sent: SOL-USD | $73.84 (Buffer: 19/100)
Sent: BTC-USD | $64035.92 (Buffer: 20/100)
Sent: BTC-USD | $64035.92 (Buffer: 21/100)
Sent: BTC-USD | $64035.92 (Buffer: 22/100)
Sent: BTC-USD | $64035.92 (Buffer: 23/100)
Sent: BTC-USD | $64035.92 (Buffer: 24/100)
Sent: BTC-USD | $64035.92 (Buffer: 25/100)
